ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME,CONTINEN_1,REGION_1,prec_2000,prec_2005,prec_2020,prec_2007,prec_2019,prec_2010,prec_2002,prec_2017,prec_2004,prec_2001,prec_2022,prec_2008,prec_2021,prec_2014,prec_2018,prec_2013,prec_2016,prec_2024,prec_2023,prec_2006,prec_2012,prec_2009,prec_2003,prec_2011,prec_2015
21970.0,Kigali City/Umujyi wa Kigali,205.0,Rwanda,Africa,Eastern Africa,753.860988451087,1017.0822010869565,1166.7498301630435,1153.1528532608695,1006.7406589673913,1107.9201766304348,963.2578125,942.4232336956521,1128.4465013586957,1168.6939538043478,1034.3498641304348,806.5424592391304,1093.5450067934783,824.013332201087,1255.653023097826,1013.004245923913,969.3052819293479,970.0780400815217,964.8313519021739,1205.5943444293478,1225.022758152174,1027.6057235054348,887.0346467391304,1226.4318104619565,891.9560122282609
21971.0,North/Amajyaruguru,205.0,Rwanda,Africa,Eastern Africa,932.140480324074,1055.9733072916667,1266.1533564814815,1241.6869212962963,1178.3331886574074,1353.2065972222222,1112.818142361111,1112.2779224537037,1175.7703269675926,1250.6905381944443,1295.5679976851852,1017.1766493055555,1228.7973090277778,1054.6625434027778,1453.7922453703704,1202.1787471064815,1256.9451678240741,1188.1121961805557,1254.7005208333333,1305.9233217592594,1296.329861111111,1117.7905092592594,1142.8970630787037,1358.1954571759259,1134.6987847222222
21972.0,South/Amajyepfo,205.0,Rwanda,Africa,Eastern Africa,981.8306375628141,1094.4425251256282,1356.2013190954774,1237.723932160804,1266.462154522613,1313.7865891959798,1174.5635992462312,1167.7315483668342,1200.1571136934674,1316.0527638190954,1286.3963567839196,950.6418027638191,1276.389447236181,1067.7839981155778,1463.3357412060302,1284.7892587939698,1208.7661746231156,1243.2479585427136,1241.6747801507538,1374.052135678392,1207.7627983668342,1217.3022927135678,1080.6415672110552,1265.8103015075376,1184.670697236181
21973.0,West/Iburengerazuba,205.0,Rwanda,Africa,Eastern Africa,1085.6773603723404,1105.940741356383,1256.1807679521276,1265.6343085106382,1234.1701296542553,1395.3331117021276,1226.4607712765958,1183.1469414893618,1208.8764960106382,1362.0304188829787,1374.649185505319,1058.19921875,1266.9411569148936,1156.169298537234,1476.8256316489362,1267.9271941489362,1350.7150930851064,1258.876994680851,1288.0363198138298,1397.690159574468,1303.0073969414893,1271.3175698138298,1223.7918882978724,1414.8447473404256,1328.9079122340424
37021.0,Upper Nile,74.0,South Sudan,Africa,Eastern Africa,837.9611283443195,679.875242341993,781.9986428848391,792.2567855758045,867.4006397828616,771.4440674680109,648.3061748739822,831.9629701434665,639.7445715393563,790.2424389298178,837.2665761923226,665.9488658394727,766.1103625436216,825.0705699883675,779.6007173322994,751.3116518030245,824.0128925940287,762.641527723924,724.3716556804964,691.2550407134548,817.8516867002714,543.620589375727,709.7483520744474,781.3730127956572,835.7208220240403
40276.0,Boucle Du Mouhoun,42.0,Burkina Faso,Africa,Western Africa,673.403418989547,662.1713305749129,865.2517966027874,770.4331990418118,916.4998911149826,936.1979529616725,647.6498802264808,724.0178571428571,635.3392857142857,751.5445884146342,907.554769163763,740.4934668989547,819.477406358885,762.508275261324,878.1244555749129,767.1905487804878,805.695775261324,891.6094838850174,834.0904290069686,798.440331010453,934.0681620209059,816.6533645470383,898.1861389372822,691.3718967770035,961.4649390243902
40277.0,Cascades,42.0,Burkina Faso,Africa,Western Africa,1123.2550536303631,878.8522070957096,1105.31074669967,992.2919760726072,1164.2472153465346,1152.0705445544554,1000.1636757425742,838.079001650165,970.269801980198,976.934405940594,1134.3702557755776,1104.9993811881188,1200.7795998349834,1142.014748349835,1242.8956270627064,1032.0078382838283,1089.9981435643565,1134.8747937293729,1047.970297029703,1101.9701938943895,1029.7809405940593,984.7770214521452,1215.393254950495,987.8632425742575,1076.644595709571
40278.0,Centre,42.0,Burkina Faso,Africa,Western Africa,624.5449634308511,817.3377659574468,891.1088763297872,717.9627659574468,857.372423537234,843.1033909574468,687.1854637632979,759.9052526595744,710.8402593085107,684.9379155585107,904.9995013297872,754.9343417553191,861.2445146276596,817.3390126329788,831.7430186170212,764.1468583776596,898.1274933510638,861.8299534574468,798.2912234042553,636.1307347074468,942.4779753989362,900.9178025265958,796.4988364361702,713.3308676861702,849.8080119680851
40279.0,Centre-est,42.0,Burkina Faso,Africa,Western Africa,740.8864097363083,878.5325811359027,975.8094574036511,900.0446881338743,1029.9680527383366,967.6362195740365,678.2053118661257,785.0982505070994,843.8325304259635,748.016607505071,906.9826952332658,867.6369802231237,916.2342799188641,793.6902256592292,877.2287652129818,821.4420005070994,905.5446247464503,925.0867773833671,887.7151369168357,791.1258874239351,905.7906313387424,961.8698022312374,932.6866125760649,863.3436866125761,931.1966911764706
40280.0,Centre-nord,42.0,Burkina Faso,Africa,Western Africa,513.9240867579908,655.339897260274,719.9346936834095,565.0249714611872,671.8216324200913,666.959094368341,573.7254566210046,605.5532724505327,497.48744292237444,568.160197869102,666.6472127092846,624.9516742770168,612.4141933028919,622.4369292237443,678.3215372907154,556.3605403348554,697.033152587519,673.8092656012177,604.2482876712329,534.7352549467275,739.5436643835617,672.1908295281582,748.4853500761035,616.2003424657535,667.4661339421614
